year   jan   feb   mar   apr   may   jun   jul   aug   sep   oct   nov   dec   win   spr   sum   aut   ann
1906  118.2   66.6   49.1   26.7   72.1   57.3   30.9   56.9   29.8  134.1   98.7   67.1   211.9   147.8   145.1   262.6   807.4
1907   32.8   42.4   39.9   73.6   83.0   83.9   57.5   65.1   18.6  140.9   71.0  100.3   142.3   196.6   206.5   230.5   809.0
1908   46.2   48.2   82.6   69.1   55.2   35.3   75.8   84.6   65.5   47.2   43.2   64.3   194.7   206.9   195.7   155.9   717.1
1909   38.5   26.6   94.6   57.4   39.5   83.2   89.5   72.0   66.9  127.1   28.2  123.0   129.4   191.4   244.7   222.2   846.4
1910   80.1   95.6   25.8   61.6   62.9   63.4   78.7  100.6   15.5   84.2  108.2  123.2   298.6   150.3   242.7   207.9   899.7
1911   37.4   56.0   55.2   43.0   36.8   73.1   13.4   49.9   54.6   82.7  102.6  156.8   216.6   135.0   136.4   239.9   761.5
1912   97.3   56.2  106.0    8.0   54.7  115.3   90.0  169.8   49.0   89.1   67.6  100.5   310.3   168.8   375.0   205.8  1003.6
1913  108.2   32.3   96.0   88.0   61.5   34.3   31.4   38.1   57.7   94.2   82.1   47.7   241.0   245.5   103.8   234.0   771.5
1914   42.5   75.5  104.4   30.5   42.3   54.0   86.0   55.8   42.5   60.8  101.9  173.7   165.7   177.2   195.8   205.2   869.9
1915   95.6  113.5   32.9   32.8   59.7   29.8  118.9   70.9   38.8   64.3   66.3  162.7   382.8   125.4   219.6   169.4   886.1
1916   50.0  118.0   97.9   41.3   63.8   60.0   50.1   86.7   47.3  121.9  104.8   85.8   330.6   202.9   196.8   274.0   927.5
1917   56.3   26.8   60.0   50.0   55.2   62.2   61.0  156.1   50.1  115.9   52.0   39.7   168.9   165.2   279.4   218.0   785.3
1918   80.5   56.0   32.5   55.6   52.3   27.7  104.6   57.1  166.1   62.2   60.0  103.5   176.1   140.4   189.4   288.3   858.2
1919  108.7   67.0  106.8   58.8   24.5   31.2   60.7   74.9   47.9   61.4   67.9  127.3   279.2   190.1   166.8   177.2   837.1
1920   96.7   40.2   72.7  107.8   67.1   55.1  122.6   43.6   58.1   58.3   39.6   82.3   264.2   247.5   221.4   156.0   844.1
1921   94.9    8.8   50.6   30.8   44.9   10.2   24.7   85.5   35.2   45.7   58.6   70.0   186.1   126.4   120.5   139.5   560.1
1922   97.1   80.4   61.2   74.6   30.4   37.4  113.6   93.4   73.3   31.7   43.2  105.8   247.5   166.2   244.4   148.2   842.1
1923   53.5  132.2   47.2   62.1   61.5   18.6   69.6   86.4   74.3  121.3   80.2   87.3   291.4   170.8   174.6   275.8   894.2
1924   80.5   23.7   31.9   67.1  115.6   59.6  101.1   85.8   98.3  117.3   68.3  107.1   191.5   214.6   246.5   283.9   956.2
1925   70.2  104.6   29.1   66.9   93.0    4.3   67.3   78.1   88.7   93.5   64.9   87.4   281.9   188.9   149.8   247.1   848.0
1926   98.8   70.0   22.1   63.8   63.0   74.2   64.6   61.4   49.4   79.0  145.2   21.7   256.2   149.0   200.2   273.6   813.1
1927   78.5   70.6   77.6   55.5   32.8   91.9   89.4  119.8  134.8   66.8   91.2   74.6   170.8   165.8   301.1   292.9   983.5
1928  140.2   66.8   70.7   37.0   37.4   88.5   52.0   84.8   29.3  128.2  102.4   74.9   281.5   145.2   225.4   259.8   912.2
1929   43.6   24.9    7.8   29.8   51.3   41.3   60.7   67.3   22.8  110.1  173.2  163.4   143.4    88.9   169.2   306.1   796.1
1930  112.6   24.7   57.8   66.3   55.3   34.0  103.7  100.3  101.4   80.3  114.2   83.3   300.7   179.4   238.0   295.9   933.9
1931   68.4   71.0   19.2   85.5   79.5   88.9  104.6  110.6   68.0   30.8  115.0   39.7   222.7   184.2   304.1   213.9   881.2
1932   75.2    9.0   54.0   75.8  119.1   31.4   91.7   46.4   85.8  139.6   53.1   43.1   123.9   249.0   169.5   278.5   824.3
1933   59.4   87.3   69.5   34.5   51.9   53.4   56.0   29.3   54.4   89.9   44.6   21.0   189.7   155.8   138.8   188.9   651.2
1934   70.2   11.1   66.0   68.7   38.0   40.8   42.5   72.6   61.7   73.2   55.0  158.9   102.3   172.6   155.9   189.8   758.5
1935   40.7   89.7   23.1   90.6   30.0   87.4   22.6   56.8  122.4  118.9  134.7   86.6   289.3   143.7   166.8   376.0   903.6
1936  111.5   68.9   54.4   45.8   26.6   87.8  126.5   31.9   84.8   58.3   93.1   80.0   267.0   126.9   246.2   236.2   869.7
1937  116.3  120.3   85.3   73.6   73.7   40.7   60.5   37.6   58.0   73.3   47.0   89.7   316.6   232.7   138.8   178.3   875.9
1938   96.1   29.4   16.1    6.9   66.0   51.1   78.5   79.2   56.7  116.3  107.1  101.6   215.1    89.0   208.9   280.2   805.1
